"TIME","GEO","UNIT","SEX","AGE","Value"
"2020W35","Prov. West-Vlaanderen","Number","Total","90 years or over","46"
"2020W36","Prov. West-Vlaanderen","Number","Total","90 years or over","56"
"2020W37","Prov. West-Vlaanderen","Number","Total","90 years or over","59"
"2020W38","Prov. West-Vlaanderen","Number","Total","90 years or over","68"
"2020W39","Prov. West-Vlaanderen","Number","Total","90 years or over","48"
"2020W40","Prov. West-Vlaanderen","Number","Total","90 years or over",":"
"2020W41","Prov. West-Vlaanderen","Number","Total","90 years or over",":"
"2020W99","Prov. West-Vlaanderen","Number","Total","90 years or over",":"
"2020W28","Arr. Brugge","Number","Total","90 years or over","18"
"2020W29","Arr. Brugge","Number","Total","90 years or over","17"
"2020W30","Arr. Brugge","Number","Total","90 years or over","20"
"2020W31","Arr. Brugge","Number","Total","90 years or over","17"
"2020W32","Arr. Brugge","Number","Total","90 years or over","10"
"2020W33","Arr. Brugge","Number","Total","90 years or over","16"
"2020W34","Arr. Brugge","Number","Total","90 years or over","8"
"2020W35","Arr. Brugge","Number","Total","90 years or over","8"
"2020W36","Arr. Brugge","Number","Total","90 years or over","13"
"2020W37","Arr. Brugge","Number","Total","90 years or over","14"
"2020W38","Arr. Brugge","Number","Total","90 years or over","22"
"2020W39","Arr. Brugge","Number","Total","90 years or over","14"
"2020W40","Arr. Brugge","Number","Total","90 years or over",":"
"2020W41","Arr. Brugge","Number","Total","90 years or over",":"
"2020W99","Arr. Brugge","Number","Total","90 years or over",":"
"2020W28","Arr. Diksmuide","Number","Total","90 years or over","1"
"2020W29","Arr. Diksmuide","Number","Total","90 years or over","3"
"2020W30","Arr. Diksmuide","Number","Total","90 years or over","0"
"2020W31","Arr. Diksmuide","Number","Total","90 years or over","2"
"2020W32","Arr. Diksmuide","Number","Total","90 years or over","3"
"2020W33","Arr. Diksmuide","Number","Total","90 years or over","2"
"2020W34","Arr. Diksmuide","Number","Total","90 years or over","1"
"2020W35","Arr. Diksmuide","Number","Total","90 years or over","0"
"2020W36","Arr. Diksmuide","Number","Total","90 years or over","2"
"2020W37","Arr. Diksmuide","Number","Total","90 years or over","3"
"2020W38","Arr. Diksmuide","Number","Total","90 years or over","2"
"2020W39","Arr. Diksmuide","Number","Total","90 years or over","1"
"2020W40","Arr. Diksmuide","Number","Total","90 years or over",":"
