type,country,state/province,epoch,even_id,date,value,restriction
school closure,USA,USA-AL,1583971200000.0,a4ebe6ef-b993-48d1-a02b-7187921014f5,2020-03-12,Only kindergartens/daycare,1
introduction of travel quarantine policies,ARM,,1580515200000.0,bffbc5f7-81bb-41d9-aadc-d3a81e594b66,2020-02-01,JPN,1
introduction of travel quarantine policies,ARM,,1580515200000.0,4a29b245-4f1e-46fe-811d-09a5a63d2bf1,2020-02-01,KOR,1
school closure,POL,,1584662400000.0,48b41dc8-cab3-4d41-b1a8-b5bf17081fcb,2020-03-20,Universities closed,1
school closure,ARM,,1588723200000.0,cbd102af-b43a-409e-bad8-c82d66897de3,2020-05-06,All schools (general) closed,1
work restrictions,USA,USA-AL,1585267200000.0,55e20683-a47e-4eef-acc3-82dc6b65d8f0,2020-03-27,Mandatory work from home enforcement for non-essential workers,1
mass gatherings,POL,,1585008000000.0,3b5ab564-6724-4143-968b-3c921362b560,2020-03-24,2,1
entertainment/cultural sector closure,POL,,1585612800000.0,a1c5bce5-4ee6-4e59-8fd2-bbfe034fc4a4,2020-03-31,Parks and public gardens,1
confinement,POL,,1585008000000.0,744dcbc4-f142-459b-9cf3-190c7077cc67,2020-03-24,na,1
confinement,USA,USA-MN,1583971200000.0,f03b483d-9a3f-40eb-913b-b3b704fa945b,2020-03-12,Mandatory/advised for people at risk,1
confinement,USA,USA-MN,1584144000000.0,fc13a1c7-fc13-4bb3-a7a5-04873cdc11b3,2020-03-14,Mandatory/advised for people at risk,1
entertainment/cultural sector closure,USA,USA-AL,1585267200000.0,f535be13-c0c0-4d2e-baf1-f54162b2599b,2020-03-27,"Bars, restaurants, night clubs",1
mass gatherings,USA,USA-AL,1587168000000.0,f0dc06ad-232b-4a1f-b691-201b69f37c97,2020-04-18,na,1
school closure,USA,USA-IL,1584403200000.0,6167e274-d7c3-4871-850b-0197b048ba86,2020-03-17,All schools (general) closed,1
school closure,USA,USA-MN,1583971200000.0,526d012f-0fda-4f88-8097-a69be0daffeb,2020-03-12,All schools (general) closed,0
school closure,USA,USA-MN,1585526400000.0,a399b526-d8dc-4fd4-9346-0a215a535b22,2020-03-30,All schools (general) closed,1
entertainment/cultural sector closure,POL,,1583971200000.0,bfe01370-f9b8-47ba-94cc-a79ef9ad77e7,2020-03-12,"Museums, theaters, cinema, libraries, festivities",1
school closure,USA,USA-AL,1583971200000.0,77d49faa-9d43-41bb-a4f6-8cbfbccdf728,2020-03-12,Only schools (primary/secondary) closed,1
