flow,origin,destination
0.0029,18,98
0.0,18,99
0.0,18,100
0.0,18,103
0.0,18,108
0.0,19,1
0.0,19,2
0.0,19,3
0.0,19,4
0.0,19,5
0.0,19,6
0.0,19,7
0.0,19,8
0.0,19,9
0.0037,19,10
0.0,19,11
0.0,19,12
0.0,19,13
0.0,19,14
0.0112,19,15
0.0075,19,16
0.015,19,17
0.0037,19,18
0.9213,19,19
0.015,19,20
0.0,19,21
0.0,19,22
0.0,19,23
0.0,19,24
0.0,19,25
0.0,19,26
0.0,19,27
0.0,19,28
0.0,19,29
0.0,19,30
0.0,19,32
0.0,19,33
0.0,19,34
0.0,19,35
0.0,19,36
0.0,19,37
0.0,19,38
0.0,19,39
0.0,19,40
0.0,19,41
0.0,19,42
0.0,19,45
0.0,19,46
0.0,19,47
0.0,19,48
0.0,19,49
0.0,19,50
0.0,19,53
0.0,19,55
0.0,19,56
0.0,19,58
0.0,19,60
0.0,19,61
0.0,19,63
0.0,19,93
0.0,19,96
0.0,19,97
0.0225,19,98
0.0,19,99
0.0,19,101
0.0,19,103
0.0,19,108
0.0,20,1
0.0,20,2
0.0,20,3
0.0,20,4
0.0,20,6
0.0,20,9
0.0,20,10
0.0,20,11
0.0,20,12
0.0,20,13
0.0,20,14
0.0,20,15
0.0,20,16
0.0034,20,17
0.0,20,18
0.0069,20,19
0.9621,20,20
0.0,20,21
0.0,20,22
0.0069,20,23
0.0,20,24
0.0,20,25
0.0,20,26
0.0,20,27
0.0034,20,28
0.0,20,29
0.0,20,30
0.0,20,31
0.0,20,33
0.0,20,34
0.0138,20,35
0.0034,20,36
0.0,20,37
0.0,20,38
0.0,20,39
0.0,20,40
0.0,20,41
0.0,20,42
0.0,20,44
0.0,20,45
0.0,20,46
0.0,20,47
0.0,20,48
0.0,20,49
0.0,20,50
0.0,20,51
0.0,20,52
0.0,20,53
0.0,20,54
0.0,20,55
0.0,20,56
0.0,20,58
0.0,20,60
0.0,20,67
0.0,20,71
0.0,20,84
0.0,20,93
0.0,20,97
0.0,20,98
0.0,20,99
0.0,20,103
0.0,20,108
0.0,20,109
0.0,21,1
0.0,21,3
0.0,21,5
0.0,21,6
0.0,21,7
0.0,21,9
0.0,21,10
0.0,21,11
0.0,21,12
0.0,21,13
0.0,21,14
0.0,21,15
0.0,21,16
0.0,21,17
0.0,21,18
0.0,21,19
0.0,21,20
0.9949,21,21
0.0,21,22
0.0,21,23
0.0,21,24
0.0,21,25
0.0,21,26
0.0,21,27
0.0,21,28
0.0,21,29
0.0,21,30
0.0,21,31
0.0,21,33
0.0,21,34
0.0,21,35
0.0,21,36
0.0,21,37
0.0,21,38
0.0,21,39
0.0,21,40
0.0,21,41
0.0,21,42
0.0,21,43
0.0,21,45
0.0,21,46
0.0,21,48
0.0,21,50
0.0,21,51
0.0,21,52
0.0,21,55
0.0,21,56
0.0,21,58
0.0051,21,60
0.0,21,63
0.0,21,64
0.0,21,69
0.0,21,75
0.0,21,93
0.0,21,96
0.0,21,97
0.0,21,98
0.0,21,99
0.0,21,103
0.0,21,108
0.0,21,109
0.0,22,1
0.0,22,2
0.0,22,3
0.0,22,4
0.0,22,5
0.0,22,6
0.0,22,7
0.0,22,8
0.0,22,9
0.0,22,10
0.0,22,11
0.0,22,12
0.0,22,13
0.0,22,14
0.0,22,15
0.0,22,16
0.0051,22,17
0.0,22,18
0.0,22,19
0.0,22,20
0.0,22,21
0.9932,22,22
0.0,22,23
0.0017,22,24
0.0,22,25
0.0,22,26
0.0,22,27
0.0,22,28
0.0,22,29
0.0,22,30
0.0,22,32
0.0,22,33
0.0,22,34
0.0,22,35
0.0,22,36
0.0,22,37
0.0,22,38
0.0,22,39
0.0,22,40
0.0,22,41
0.0,22,42
0.0,22,43
0.0,22,44
0.0,22,46
0.0,22,48
0.0,22,49
0.0,22,50
0.0,22,51
0.0,22,52
0.0,22,55
0.0,22,58
0.0,22,59
0.0,22,66
0.0,22,67
0.0,22,69
0.0,22,71
0.0,22,72
0.0,22,79
0.0,22,80
0.0,22,90
0.0,22,93
0.0,22,96
0.0,22,97
0.0,22,98
0.0,22,99
0.0,22,108
0.0,22,109
0.0,23,1
0.0,23,2
0.0,23,3
0.0,23,4
0.0,23,5
0.0,23,6
0.0,23,7
0.0,23,9
0.0,23,10
0.0,23,11
0.0,23,12
0.0,23,13
0.0,23,14
0.0,23,15
0.0,23,16
0.0018,23,17
0.0,23,18
0.0,23,19
0.0074,23,20
0.0,23,21
0.0,23,22
0.9871,23,23
0.0037,23,24
0.0,23,25
0.0,23,26
0.0,23,27
0.0,23,28
0.0,23,29
0.0,23,30
0.0,23,31
0.0,23,32
0.0,23,33
0.0,23,34
0.0,23,35
0.0,23,36
0.0,23,37
0.0,23,38
0.0,23,39
0.0,23,40
0.0,23,41
0.0,23,42
0.0,23,44
0.0,23,45
0.0,23,46
0.0,23,47
0.0,23,48
0.0,23,49
0.0,23,50
0.0,23,51
0.0,23,52
0.0,23,53
0.0,23,54
0.0,23,55
0.0,23,56
0.0,23,57
0.0,23,58
0.0,23,60
0.0,23,63
0.0,23,64
0.0,23,66
0.0,23,67
0.0,23,68
0.0,23,69
0.0,23,70
0.0,23,71
0.0,23,72
0.0,23,74
0.0,23,75
0.0,23,82
0.0,23,87
0.0,23,93
0.0,23,96
0.0,23,97
0.0,23,98
0.0,23,99
0.0,23,103
0.0,23,108
0.0,23,109
0.0,23,111
0.0,24,1
0.0,24,3
0.0,24,4
0.0,24,5
0.0,24,6
0.0,24,7
0.0,24,10
0.0,24,11
0.0,24,12
0.0,24,13
0.0,24,14
0.0,24,15
0.0,24,16
0.0,24,17
0.0,24,18
0.0,24,19
0.0,24,20
0.0,24,21
0.0017,24,22
0.0068,24,23
0.9727,24,24
0.0017,24,25
0.0017,24,26
0.0017,24,27
0.0119,24,28
0.0,24,29
0.0017,24,30
0.0,24,31
0.0,24,32
0.0,24,33
0.0,24,34
0.0,24,35
0.0,24,36
0.0,24,37
0.0,24,38
0.0,24,39
0.0,24,40
0.0,24,41
0.0,24,42
0.0,24,44
0.0,24,45
0.0,24,46
0.0,24,48
0.0,24,49
0.0,24,51
0.0,24,52
0.0,24,53
0.0,24,54
0.0,24,55
0.0,24,58
0.0,24,59
0.0,24,60
0.0,24,63
0.0,24,68
0.0,24,70
0.0,24,71
0.0,24,93
0.0,24,96
0.0,24,97
0.0,24,98
