,2020-01-18,Origin,Destination
1017,0.0,18,34
1018,0.0,18,35
1019,0.0,18,36
1020,0.0,18,37
1021,0.0023,18,38
1022,0.0,18,39
1023,0.0,18,40
1024,0.0,18,41
1025,0.0,18,42
1026,0.0,18,45
1027,0.0,18,47
1028,0.0023,18,48
1029,0.0,18,49
1030,0.0,18,51
1031,0.0,18,52
1032,0.0,18,53
1033,0.0,18,58
1034,0.0,18,61
1035,0.0023,18,63
1036,0.0,18,67
1037,0.0,18,69
1038,0.0,18,71
1039,0.0,18,93
1040,0.0,18,96
1041,0.0,18,97
1042,0.014,18,98
1043,0.0,18,99
1044,0.0,18,100
1045,0.0023,18,103
1046,0.0023,18,108
1047,0.0,19,1
1048,0.0,19,2
1049,0.0029,19,3
1050,0.0,19,4
1051,0.0,19,5
1052,0.0029,19,6
1053,0.0,19,7
1054,0.0,19,8
1055,0.0,19,9
1056,0.0,19,10
1057,0.0,19,11
1058,0.0,19,12
1059,0.0,19,13
1060,0.0,19,14
1061,0.0321,19,15
1062,0.0408,19,16
1063,0.0583,19,17
1064,0.0029,19,18
1065,0.691,19,19
1066,0.0554,19,20
1067,0.0,19,21
1068,0.0,19,22
1069,0.0058,19,23
1070,0.0,19,24
1071,0.0,19,25
1072,0.0,19,26
1073,0.0,19,27
1074,0.0029,19,28
1075,0.0,19,29
1076,0.0,19,30
1077,0.0,19,32
1078,0.0204,19,33
1079,0.0204,19,34
1080,0.0029,19,35
1081,0.0,19,36
1082,0.0,19,37
1083,0.0,19,38
1084,0.0,19,39
1085,0.0,19,40
1086,0.0,19,41
1087,0.0,19,42
1088,0.0,19,45
1089,0.0,19,46
1090,0.0,19,47
1091,0.0,19,48
1092,0.0,19,49
1093,0.0,19,50
1094,0.0,19,53
1095,0.0,19,55
1096,0.0,19,56
1097,0.0029,19,58
1098,0.0,19,60
1099,0.0,19,61
1100,0.0,19,63
1101,0.0,19,93
1102,0.0,19,96
1103,0.0,19,97
1104,0.0583,19,98
1105,0.0,19,99
1106,0.0,19,101
1107,0.0,19,103
1108,0.0,19,108
1109,0.0,20,1
1110,0.0,20,2
1111,0.0,20,3
1112,0.0,20,4
1113,0.0,20,6
1114,0.0,20,9
1115,0.0,20,10
1116,0.0,20,11
1117,0.0,20,12
1118,0.0,20,13
1119,0.0,20,14
1120,0.0028,20,15
1121,0.0,20,16
1122,0.0909,20,17
1123,0.0,20,18
1124,0.0413,20,19
1125,0.708,20,20
1126,0.0,20,21
1127,0.0,20,22
1128,0.0661,20,23
1129,0.0,20,24
1130,0.0,20,25
1131,0.0,20,26
1132,0.0,20,27
1133,0.0028,20,28
1134,0.0083,20,29
1135,0.0,20,30
1136,0.0,20,31
1137,0.0,20,33
1138,0.0165,20,34
1139,0.0248,20,35
1140,0.0275,20,36
1141,0.0028,20,37
1142,0.0028,20,38
1143,0.0,20,39
1144,0.0,20,40
1145,0.0,20,41
1146,0.0,20,42
1147,0.0,20,44
1148,0.0,20,45
1149,0.0,20,46
1150,0.0,20,47
1151,0.0028,20,48
1152,0.0,20,49
1153,0.0,20,50
1154,0.0028,20,51
1155,0.0,20,52
1156,0.0,20,53
1157,0.0,20,54
1158,0.0,20,55
1159,0.0,20,56
1160,0.0,20,58
1161,0.0,20,60
1162,0.0,20,67
1163,0.0,20,71
1164,0.0,20,84
1165,0.0,20,93
1166,0.0,20,97
1167,0.0,20,98
1168,0.0,20,99
1169,0.0,20,103
1170,0.0,20,108
1171,0.0,20,109
1172,0.0,21,1
1173,0.0,21,3
1174,0.0,21,5
1175,0.0,21,6
1176,0.0,21,7
1177,0.0,21,9
1178,0.0,21,10
1179,0.0,21,11
1180,0.0,21,12
1181,0.0,21,13
1182,0.0,21,14
1183,0.0,21,15
1184,0.0,21,16
1185,0.0041,21,17
1186,0.0,21,18
1187,0.0,21,19
1188,0.0,21,20
1189,0.8939,21,21
1190,0.0694,21,22
